University_link,University_Name,Location,T.H.E.R (2018),Top.U.R(2018),U.S. News & World Report.R(2018)
https://www.bachelorsportal.com/universities/265/university-of-york.html,University of York,"York, United Kingdom",-,335,-
https://www.bachelorsportal.com/universities/12672/victoria-university-of-wellington.html,Victoria University of Wellington,"Wellington, New Zealand",-,335,-
https://www.bachelorsportal.com/universities/13130/tokyo-university-of-science.html,Tokyo University of Science,"Nerima, Japan",-,344,-
https://www.bachelorsportal.com/universities/11164/macquarie-university.html,Macquarie University,"Sydney, Australia",-,349,-
https://www.bachelorsportal.com/universities/10606/nankai-university.html,Nankai University,"Tianjin, China",-,349,171
https://www.bachelorsportal.com/universities/324/saarland-university.html,Saarland University,"Saarbrücken, Germany",-,352,-
https://www.bachelorsportal.com/universities/11724/vanderbilt-university.html,Vanderbilt University,"Nashville, United States",-,353,340
https://www.bachelorsportal.com/universities/12169/weizmann-institute-of-science.html,Weizmann Institute of Science,"Rehovot, Israel",-,353,-
https://www.bachelorsportal.com/universities/687/frankfurt-university-of-applied-science.html,Frankfurt University of Applied Science,"Frankfurt am Main, Germany",-,355,-
https://www.bachelorsportal.com/universities/484/university-of-vienna.html,University of Vienna,"Vienna, Austria",-,358,-
https://www.bachelorsportal.com/universities/379/brno-university-of-technology.html,Brno University of Technology,"Brno, Czech Republic",-,365,448
https://www.bachelorsportal.com/universities/695/university-of-pavia.html,University of Pavia,"Pavia, Italy",-,367,314
https://www.bachelorsportal.com/universities/188/university-of-tbingen.html,University of Tübingen,"Tübingen, Germany",-,367,-
https://www.bachelorsportal.com/universities/558/university-of-basel.html,University of Basel,"Basel, Switzerland",-,369,-
https://www.bachelorsportal.com/universities/11821/indiana-university-bloomington.html,Indiana University Bloomington,"Bloomington, United States",-,371,-
https://www.bachelorsportal.com/universities/15349/university-tenaga-nasional.html,University Tenaga Nasional,"Kampong Baharu Balakong, Malaysia",-,371,-
https://www.bachelorsportal.com/universities/12749/hong-kong-baptist-university.html,Hong Kong Baptist University,"Kowloon, Hong Kong (SAR)",-,375,486
https://www.bachelorsportal.com/universities/559/university-of-turin.html,University of Turin,"Turin, Italy",-,375,-
https://www.bachelorsportal.com/universities/9465/ben-gurion-university-of-the-negev.html,Ben-Gurion University of the Negev,"Beersheba, Israel",-,381,412
https://www.bachelorsportal.com/universities/13932/chongqing-university.html,Chongqing University,"Chongqing, China",-,381,102
https://www.bachelorsportal.com/universities/12047/dartmouth-college.html,Dartmouth College,"Hanover, United States",-,381,-
https://www.bachelorsportal.com/universities/12786/singapore-management-university.html,Singapore Management University,"Singapore, Singapore",-,381,-
https://www.bachelorsportal.com/universities/12655/alexandria-university.html,Alexandria University,"Alexandria, Egypt",-,390,443
https://www.bachelorsportal.com/universities/13949/university-of-science-and-technology-beijing.html,University of Science and Technology Beijing,"Beijing, China",-,390,161
https://www.bachelorsportal.com/universities/15006/university-of-seoul.html,University of Seoul,"Seoul, South Korea",-,395,588
https://www.bachelorsportal.com/universities/12070/university-of-mnster.html,University of Münster,"Münster, Germany",-,399,-
https://www.bachelorsportal.com/universities/773/agh-university-of-science-technology.html,AGH University of Science & Technology,"Kraków, Poland",-,401,431
https://www.bachelorsportal.com/universities/14486/auckland-university-of-technology.html,Auckland University of Technology,"Auckland, New Zealand",-,401,-
https://www.bachelorsportal.com/universities/23/charles-university.html,Charles University,"Prague, Czech Republic",-,401,530
https://www.bachelorsportal.com/universities/74/erasmus-university-rotterdam.html,Erasmus University Rotterdam,"Rotterdam, Netherlands",-,401,-
https://www.bachelorsportal.com/universities/13058/federal-university-of-rio-grande-do-sul.html,Federal University of Rio Grande do Sul,"Porto Alegre, Brazil",-,401,368
https://www.bachelorsportal.com/universities/13819/feng-chia-university.html,Feng Chia University,"Taichung, Taiwan",-,401,523
https://www.bachelorsportal.com/universities/14977/international-islamic-university-of-malaysia.html,International Islamic University of Malaysia,"Kuala Lumpur, Malaysia",-,401,-
https://www.bachelorsportal.com/universities/182/lule-university-of-technology.html,Luleå University of Technology,"Luleå, Sweden",-,401,311
https://www.bachelorsportal.com/universities/12035/michigan-technological-university.html,Michigan Technological University,"Houghton, United States",-,401,408
https://www.bachelorsportal.com/universities/12805/multimedia-university.html,Multimedia University,"Cyberjaya, Malaysia",-,401,-
https://www.bachelorsportal.com/universities/13945/nanjing-university-of-aeronautics-and-astronautics.html,Nanjing University of Aeronautics and Astronautics,"Xiaolingwei, China",-,401,157
https://www.bachelorsportal.com/universities/12397/national-chung-cheng-university.html,National Chung Cheng University,"Douliu, Taiwan",-,401,520
https://www.bachelorsportal.com/universities/13098/national-yang-ming-chiao-tung-university.html,National Yang Ming Chiao Tung University (NYCU),"Taipei, Taiwan",-,401,-
https://www.bachelorsportal.com/universities/173/oxford-brookes-university.html,Oxford Brookes University,"Oxford, United Kingdom",-,401,-
,Quaid-i-azam University,"Islamabad, Pakistan",-,401,-
https://www.bachelorsportal.com/universities/13477/universitas-gadjah-mada.html,Universitas Gadjah Mada,"Daerah Istimewa Yogyakarta, Indonesia",-,401,-
https://www.bachelorsportal.com/universities/12257/university-of-central-florida.html,University of Central Florida,"Alafaya, United States",-,401,213
https://www.bachelorsportal.com/universities/12904/university-of-electronic-science-and-technology-of-china.html,University of Electronic Science and Technology of China,"Chengdu, China",-,401,97
https://www.bachelorsportal.com/universities/21/university-of-gothenburg.html,University of Gothenburg,"Göteborg, Sweden",-,401,-
https://www.bachelorsportal.com/universities/13906/university-of-indonesia.html,University of Indonesia,"Depok, Indonesia",-,401,-
https://www.bachelorsportal.com/universities/795/university-of-navarra.html,University of Navarra,"Pamplona, Spain",-,401,-
https://www.bachelorsportal.com/universities/13159/university-of-the-andes.html,University of the Andes,"Bogotá, Colombia",-,401,-
https://www.bachelorsportal.com/universities/15430/university-of-the-philippines-diliman.html,University of the Philippines Diliman,"Bagong Pagasa, Philippines",-,401,-
https://www.bachelorsportal.com/universities/367/university-of-warsaw.html,University of Warsaw,"Warsaw, Poland",-,401,-
https://www.bachelorsportal.com/universities/17229/wuhan-university-of-technology.html,Wuhan University of Technology (WUT),"Wuhan, China",-,401,417
https://www.bachelorsportal.com/universities/14742/ain-shams-university.html,Ain Shams University,"Cairo, Egypt",-,451,574
https://www.bachelorsportal.com/universities/12848/ajou-university.html,Ajou University,"Suwon, South Korea",-,451,468
https://www.bachelorsportal.com/universities/15708/anna-university.html,Anna University,"Chennai, India",-,451,362
https://www.bachelorsportal.com/universities/13941/beijing-university-of-chemical-technology.html,Beijing University of Chemical Technology,"Beijing, China",-,451,221
https://www.bachelorsportal.com/universities/13033/chiba-university.html,Chiba University,"Chiba, Japan",-,451,-
https://www.bachelorsportal.com/universities/320/centrale-nantes.html,Centrale Nantes,"Nantes, France",-,451,-
https://www.bachelorsportal.com/universities/317/cole-normale-suprieure-de-lyon.html,École Normale Supérieure de Lyon,"Lyon, France",-,451,-
https://www.bachelorsportal.com/universities/13371/federal-university-of-santa-catarina.html,Federal University of Santa Catarina (UFSC),"Araranguá, Brazil",-,451,351
https://www.bachelorsportal.com/universities/13191/kasetsart-university.html,Kasetsart University,"Mueang Nonthaburi, Thailand",-,451,-
https://www.bachelorsportal.com/universities/349/kaunas-university-of-technology.html,Kaunas University of Technology,"Kaunas, Lithuania",-,451,-
https://www.bachelorsportal.com/universities/15407/kyushu-institute-of-technology.html,Kyushu Institute of Technology,"Kitakyushu, Japan",-,451,593
https://www.bachelorsportal.com/universities/12905/national-chengchi-university.html,National Chengchi University,"Taipei, Taiwan",-,451,-
https://www.bachelorsportal.com/universities/15361/polytechnic-university-of-bari.html,Polytechnic University of Bari,"Bari, Italy",-,451,306
https://www.bachelorsportal.com/universities/230/pompeu-fabra-university.html,Pompeu Fabra University,"Ciutat Vella, Spain",-,451,-
https://www.bachelorsportal.com/universities/13549/toronto-metropolitan-university.html,Toronto Metropolitan University,"Toronto, Canada",-,451,214
https://www.bachelorsportal.com/universities/14110/thammasat-university.html,Thammasat University,"Bangkok, Thailand",-,451,-
https://www.bachelorsportal.com/universities/11937/the-city-university-of-new-york.html,The City University of New York,"New York City, United States",-,451,-
,Tokyo Metropolitan University,"Tokyo, Japan",-,451,-
https://www.bachelorsportal.com/universities/1394/toulouse-iii-universit-paul-sabatier.html,Toulouse III - Université Paul Sabatier,"Toulouse, France",-,451,-
https://www.bachelorsportal.com/universities/15417/universiti-tun-hussein-onn-malaysia.html,Universiti Tun Hussein Onn Malaysia,"Parit Raja, Malaysia",-,451,-
https://www.bachelorsportal.com/universities/15/university-of-bergen.html,University of Bergen,"Bergen, Norway",-,451,-
https://www.bachelorsportal.com/universities/608/university-of-cologne.html,University of Cologne,"Köln, Germany",-,451,-
https://www.bachelorsportal.com/universities/12095/university-of-kansas.html,University of Kansas,"Lawrence, United States",-,451,486
https://www.bachelorsportal.com/universities/29/university-of-ljubljana.html,University of Ljubljana,"Ljubljana, Slovenia",-,451,309
https://www.bachelorsportal.com/universities/13364/university-of-pretoria.html,University of Pretoria,"Pretoria, South Africa",-,451,357
https://www.bachelorsportal.com/universities/11741/university-of-rochester.html,University of Rochester,"Rochester, United States",-,451,-
https://www.bachelorsportal.com/universities/372/university-of-valencia.html,University of Valencia,"Valencia, Spain",-,451,-
https://www.bachelorsportal.com/universities/1155/university-politehnica-of-bucharest.html,University Politehnica of Bucharest,"Bucharest, Romania",-,451,451
https://www.bachelorsportal.com/universities/16821/university-of-minnesota-twin-cities.html,University of Minnesota Twin Cities,"Minneapolis, United States",-,-,67
https://www.bachelorsportal.com/universities/473/technical-university-of-lisbon.html,Technical University of Lisbon,"Lisbon, Portugal",-,-,104
https://www.bachelorsportal.com/universities/14470/iran-university-of-science-and-technology.html,Iran University of Science and Technology,"Tehran, Iran",-,-,133
,CentraleSupélec,"Gif-sur-Yvette, France",-,-,148
https://www.bachelorsportal.com/universities/13930/china-university-of-petroleum-beijing.html,China University of Petroleum-Beijing,"Changping, China",-,-,185
https://www.bachelorsportal.com/universities/12153/xidian-university.html,Xidian University,"Xi'an, China",-,-,194
https://www.bachelorsportal.com/universities/13480/jiangnan-university.html,Jiangnan University,"Wuxi, China",-,-,195
https://www.bachelorsportal.com/universities/15291/masdar-institute-of-science-and-technology.html,Masdar Institute of Science and Technology,"Abu Dhabi, United Arab Emirates",-,-,195
https://www.bachelorsportal.com/universities/15308/ontario-tech-university.html,Ontario Tech University,"Oshawa, Canada",-,-,200
https://www.bachelorsportal.com/universities/14355/tarbiat-modares-university.html,Tarbiat Modares University,"Tehran, Iran",-,-,212
https://www.bachelorsportal.com/universities/13374/china-university-of-geosciences-wuhan.html,China University of Geosciences Wuhan,"Wuhan, China",-,-,236
https://www.bachelorsportal.com/universities/17230/harbin-engineering-university.html,Harbin Engineering University,"Harbin, China",-,-,236
https://www.bachelorsportal.com/universities/14180/trinity-western-university.html,Trinity Western University,"Walnut Grove, Canada",-,-,240
https://www.bachelorsportal.com/universities/538/babes-bolyai-university.html,Babes-Bolyai University,"Cluj-Napoca, Romania",-,-,245
https://www.bachelorsportal.com/universities/12990/donghua-university.html,Donghua University,"Shanghai, China",-,-,256
https://www.bachelorsportal.com/universities/17243/university-of-perugia.html,University of Perugia,"Perugia, Italy",-,-,259
https://www.bachelorsportal.com/universities/12899/national-university-of-defense-technology.html,National University of Defense Technology,"Changsha, China",-,-,262
https://www.bachelorsportal.com/universities/17227/nanjing-university-of-science-and-technology.html,Nanjing University of Science and Technology,"Nanjing, China",-,-,270
,Institut National Polytechnique de Toulouse,"Toulouse, France",-,-,273
https://www.bachelorsportal.com/universities/13947/southwest-jiaotong-university.html,Southwest Jiaotong University,"Chengdu, China",-,-,273
https://www.bachelorsportal.com/universities/943/university-of-belgrade.html,University of Belgrade,"Belgrade, Serbia",-,-,279
https://www.bachelorsportal.com/universities/14525/yildiz-technical-university.html,Yildiz Technical University,"Sisli, Turkey",-,-,313
https://www.bachelorsportal.com/universities/685/university-of-zagreb.html,University of Zagreb,"Zagreb, Croatia",-,-,329
https://www.bachelorsportal.com/universities/13349/texas-am-university-at-qatar.html,Texas A&M University at Qatar,"Doha, Qatar",-,-,334
https://www.bachelorsportal.com/universities/13955/jiangsu-university.html,Jiangsu University,"Zhenjiang, China",-,-,343
https://www.bachelorsportal.com/universities/12177/utah-state-university.html,Utah State University,"Logan, United States",-,-,347
https://www.bachelorsportal.com/universities/14528/technical-university-of-crete.html,Technical University of Crete,"Soúda, Greece",-,-,351
https://www.bachelorsportal.com/universities/12009/the-federal-university-of-rio-de-janeiro.html,The Federal University of Rio de Janeiro,"Rio de Janeiro, Brazil",-,-,364
https://www.bachelorsportal.com/universities/11943/clemson-university.html,Clemson University,"Clemson, United States",-,-,368
https://www.bachelorsportal.com/universities/12379/hacettepe-university.html,Hacettepe University,"Ankara, Turkey",-,-,370
